date,category,amount,month
2025-04-14,Equipment Maintenance,236.0,2025-04
2025-04-14,Transport,341.0,2025-04
2025-04-14,Packaging Materials,192.0,2025-04
2025-04-14,Miscellaneous,135.0,2025-04
2025-04-15,Labor - Regular,3331.0,2025-04
2025-04-15,Labor - Overtime,681.0,2025-04
2025-04-15,Fertilizers,1504.0,2025-04
2025-04-15,Pesticides & Fungicides,451.0,2025-04
2025-04-15,Seeds & Rootstock,708.0,2025-04
2025-04-15,Electricity,448.0,2025-04
2025-04-15,Water,212.0,2025-04
2025-04-15,Equipment Maintenance,330.0,2025-04
2025-04-15,Transport,344.0,2025-04
2025-04-15,Packaging Materials,268.0,2025-04
2025-04-15,Miscellaneous,88.0,2025-04
2025-04-16,Labor - Regular,3278.0,2025-04
2025-04-16,Labor - Overtime,459.0,2025-04
2025-04-16,Fertilizers,1564.0,2025-04
2025-04-16,Pesticides & Fungicides,473.0,2025-04
2025-04-16,Seeds & Rootstock,643.0,2025-04
2025-04-16,Electricity,440.0,2025-04
2025-04-16,Water,172.0,2025-04
2025-04-16,Equipment Maintenance,344.0,2025-04
2025-04-16,Transport,399.0,2025-04
2025-04-16,Packaging Materials,235.0,2025-04
2025-04-16,Miscellaneous,219.0,2025-04
2025-04-17,Labor - Regular,3336.0,2025-04
2025-04-17,Labor - Overtime,467.0,2025-04
2025-04-17,Fertilizers,1299.0,2025-04
2025-04-17,Pesticides & Fungicides,597.0,2025-04
2025-04-17,Seeds & Rootstock,649.0,2025-04
2025-04-17,Electricity,408.0,2025-04
2025-04-17,Water,237.0,2025-04
2025-04-17,Equipment Maintenance,267.0,2025-04
2025-04-17,Transport,253.0,2025-04
2025-04-17,Packaging Materials,212.0,2025-04
2025-04-17,Miscellaneous,245.0,2025-04
2025-04-18,Labor - Regular,3204.0,2025-04
2025-04-18,Labor - Overtime,825.0,2025-04
2025-04-18,Fertilizers,1607.0,2025-04
2025-04-18,Pesticides & Fungicides,661.0,2025-04
2025-04-18,Seeds & Rootstock,1044.0,2025-04
2025-04-18,Electricity,369.0,2025-04
2025-04-18,Water,202.0,2025-04
2025-04-18,Equipment Maintenance,338.0,2025-04
2025-04-18,Transport,374.0,2025-04
2025-04-18,Packaging Materials,193.0,2025-04
2025-04-18,Miscellaneous,185.0,2025-04
2025-04-19,Labor - Regular,3202.0,2025-04
2025-04-19,Labor - Overtime,702.0,2025-04
2025-04-19,Fertilizers,1467.0,2025-04
2025-04-19,Pesticides & Fungicides,535.0,2025-04
2025-04-19,Seeds & Rootstock,948.0,2025-04
2025-04-19,Electricity,438.0,2025-04
2025-04-19,Water,218.0,2025-04
2025-04-19,Equipment Maintenance,252.0,2025-04
2025-04-19,Transport,359.0,2025-04
2025-04-19,Packaging Materials,237.0,2025-04
2025-04-19,Miscellaneous,92.0,2025-04
2025-04-20,Labor - Regular,0.0,2025-04
2025-04-20,Labor - Overtime,0.0,2025-04
2025-04-20,Fertilizers,172.0,2025-04
2025-04-20,Pesticides & Fungicides,44.0,2025-04
2025-04-20,Seeds & Rootstock,100.0,2025-04
2025-04-20,Electricity,39.0,2025-04
2025-04-20,Water,21.0,2025-04
2025-04-20,Equipment Maintenance,22.0,2025-04
2025-04-20,Transport,32.0,2025-04
2025-04-20,Packaging Materials,20.0,2025-04
2025-04-20,Miscellaneous,24.0,2025-04
2025-04-21,Labor - Regular,3371.0,2025-04
2025-04-21,Labor - Overtime,1036.0,2025-04
2025-04-21,Fertilizers,1259.0,2025-04
2025-04-21,Pesticides & Fungicides,562.0,2025-04
2025-04-21,Seeds & Rootstock,1035.0,2025-04
2025-04-21,Electricity,376.0,2025-04
2025-04-21,Water,197.0,2025-04
2025-04-21,Equipment Maintenance,282.0,2025-04
2025-04-21,Transport,393.0,2025-04
2025-04-21,Packaging Materials,237.0,2025-04
2025-04-21,Miscellaneous,245.0,2025-04
2025-04-22,Labor - Regular,3235.0,2025-04
2025-04-22,Labor - Overtime,531.0,2025-04
2025-04-22,Fertilizers,1287.0,2025-04
2025-04-22,Pesticides & Fungicides,453.0,2025-04
2025-04-22,Seeds & Rootstock,771.0,2025-04
2025-04-22,Electricity,441.0,2025-04
2025-04-22,Water,208.0,2025-04
2025-04-22,Equipment Maintenance,179.0,2025-04
2025-04-22,Transport,355.0,2025-04
2025-04-22,Packaging Materials,279.0,2025-04
2025-04-22,Miscellaneous,205.0,2025-04
2025-04-23,Labor - Regular,3338.0,2025-04
2025-04-23,Labor - Overtime,594.0,2025-04
2025-04-23,Fertilizers,1641.0,2025-04
2025-04-23,Pesticides & Fungicides,422.0,2025-04
2025-04-23,Seeds & Rootstock,967.0,2025-04
2025-04-23,Electricity,426.0,2025-04
2025-04-23,Water,212.0,2025-04
2025-04-23,Equipment Maintenance,247.0,2025-04
2025-04-23,Transport,397.0,2025-04
2025-04-23,Packaging Materials,223.0,2025-04
2025-04-23,Miscellaneous,109.0,2025-04
2025-04-24,Labor - Regular,3345.0,2025-04
2025-04-24,Labor - Overtime,874.0,2025-04
2025-04-24,Fertilizers,1819.0,2025-04
2025-04-24,Pesticides & Fungicides,396.0,2025-04
2025-04-24,Seeds & Rootstock,649.0,2025-04
2025-04-24,Electricity,363.0,2025-04
2025-04-24,Water,230.0,2025-04
2025-04-24,Equipment Maintenance,329.0,2025-04
2025-04-24,Transport,301.0,2025-04
2025-04-24,Packaging Materials,210.0,2025-04
2025-04-24,Miscellaneous,207.0,2025-04
2025-04-25,Labor - Regular,3267.0,2025-04
2025-04-25,Labor - Overtime,877.0,2025-04
2025-04-25,Fertilizers,1777.0,2025-04
2025-04-25,Pesticides & Fungicides,725.0,2025-04
2025-04-25,Seeds & Rootstock,836.0,2025-04
2025-04-25,Electricity,376.0,2025-04
2025-04-25,Water,162.0,2025-04
2025-04-25,Equipment Maintenance,310.0,2025-04
2025-04-25,Transport,252.0,2025-04
2025-04-25,Packaging Materials,253.0,2025-04
2025-04-25,Miscellaneous,195.0,2025-04
2025-04-26,Labor - Regular,3374.0,2025-04
2025-04-26,Labor - Overtime,1023.0,2025-04
2025-04-26,Fertilizers,1839.0,2025-04
2025-04-26,Pesticides & Fungicides,602.0,2025-04
2025-04-26,Seeds & Rootstock,710.0,2025-04
2025-04-26,Electricity,386.0,2025-04
2025-04-26,Water,172.0,2025-04
2025-04-26,Equipment Maintenance,204.0,2025-04
2025-04-26,Transport,408.0,2025-04
2025-04-26,Packaging Materials,192.0,2025-04
2025-04-26,Miscellaneous,143.0,2025-04
2025-04-27,Labor - Regular,0.0,2025-04
2025-04-27,Labor - Overtime,0.0,2025-04
2025-04-27,Fertilizers,167.0,2025-04
2025-04-27,Pesticides & Fungicides,72.0,2025-04
2025-04-27,Seeds & Rootstock,84.0,2025-04
2025-04-27,Electricity,39.0,2025-04
2025-04-27,Water,20.0,2025-04
2025-04-27,Equipment Maintenance,29.0,2025-04
2025-04-27,Transport,30.0,2025-04
2025-04-27,Packaging Materials,27.0,2025-04
2025-04-27,Miscellaneous,17.0,2025-04
2025-04-28,Labor - Regular,3246.0,2025-04
2025-04-28,Labor - Overtime,913.0,2025-04
2025-04-28,Fertilizers,1151.0,2025-04
2025-04-28,Pesticides & Fungicides,606.0,2025-04
2025-04-28,Seeds & Rootstock,1041.0,2025-04
2025-04-28,Electricity,415.0,2025-04
2025-04-28,Water,217.0,2025-04
2025-04-28,Equipment Maintenance,367.0,2025-04
2025-04-28,Transport,272.0,2025-04
2025-04-28,Packaging Materials,265.0,2025-04
2025-04-28,Miscellaneous,109.0,2025-04
2025-04-29,Labor - Regular,3227.0,2025-04
2025-04-29,Labor - Overtime,453.0,2025-04
2025-04-29,Fertilizers,1693.0,2025-04
2025-04-29,Pesticides & Fungicides,603.0,2025-04
2025-04-29,Seeds & Rootstock,1071.0,2025-04
2025-04-29,Electricity,388.0,2025-04
2025-04-29,Water,205.0,2025-04
2025-04-29,Equipment Maintenance,171.0,2025-04
2025-04-29,Transport,364.0,2025-04
2025-04-29,Packaging Materials,261.0,2025-04
2025-04-29,Miscellaneous,242.0,2025-04
2025-04-30,Labor - Regular,3224.0,2025-04
2025-04-30,Labor - Overtime,573.0,2025-04
2025-04-30,Fertilizers,1710.0,2025-04
2025-04-30,Pesticides & Fungicides,656.0,2025-04
2025-04-30,Seeds & Rootstock,723.0,2025-04
2025-04-30,Electricity,424.0,2025-04
2025-04-30,Water,206.0,2025-04
2025-04-30,Equipment Maintenance,259.0,2025-04
2025-04-30,Transport,256.0,2025-04
2025-04-30,Packaging Materials,252.0,2025-04
2025-04-30,Miscellaneous,161.0,2025-04
2025-05-01,Labor - Regular,3208.0,2025-05
2025-05-01,Labor - Overtime,1008.0,2025-05
2025-05-01,Fertilizers,1617.0,2025-05
2025-05-01,Pesticides & Fungicides,546.0,2025-05
2025-05-01,Seeds & Rootstock,868.0,2025-05
2025-05-01,Electricity,436.0,2025-05
2025-05-01,Water,190.0,2025-05
2025-05-01,Equipment Maintenance,278.0,2025-05
2025-05-01,Transport,377.0,2025-05
2025-05-01,Packaging Materials,218.0,2025-05
2025-05-01,Miscellaneous,160.0,2025-05
2025-05-02,Labor - Regular,3367.0,2025-05
2025-05-02,Labor - Overtime,763.0,2025-05
2025-05-02,Fertilizers,1813.0,2025-05
2025-05-02,Pesticides & Fungicides,502.0,2025-05
2025-05-02,Seeds & Rootstock,1030.0,2025-05
2025-05-02,Electricity,363.0,2025-05
2025-05-02,Water,231.0,2025-05
2025-05-02,Equipment Maintenance,179.0,2025-05
2025-05-02,Transport,355.0,2025-05
2025-05-02,Packaging Materials,203.0,2025-05
2025-05-02,Miscellaneous,143.0,2025-05
2025-05-03,Labor - Regular,3400.0,2025-05
2025-05-03,Labor - Overtime,581.0,2025-05
2025-05-03,Fertilizers,1395.0,2025-05
2025-05-03,Pesticides & Fungicides,522.0,2025-05
2025-05-03,Seeds & Rootstock,882.0,2025-05
2025-05-03,Electricity,354.0,2025-05
2025-05-03,Water,204.0,2025-05
2025-05-03,Equipment Maintenance,168.0,2025-05
2025-05-03,Transport,274.0,2025-05
2025-05-03,Packaging Materials,247.0,2025-05
2025-05-03,Miscellaneous,130.0,2025-05
2025-05-04,Labor - Regular,0.0,2025-05
2025-05-04,Labor - Overtime,0.0,2025-05
2025-05-04,Fertilizers,134.0,2025-05
2025-05-04,Pesticides & Fungicides,78.0,2025-05
2025-05-04,Seeds & Rootstock,102.0,2025-05
2025-05-04,Electricity,37.0,2025-05
2025-05-04,Water,22.0,2025-05
2025-05-04,Equipment Maintenance,21.0,2025-05
2025-05-04,Transport,38.0,2025-05
2025-05-04,Packaging Materials,23.0,2025-05
2025-05-04,Miscellaneous,13.0,2025-05
2025-05-05,Labor - Regular,3426.0,2025-05
2025-05-05,Labor - Overtime,666.0,2025-05
2025-05-05,Fertilizers,1546.0,2025-05
2025-05-05,Pesticides & Fungicides,560.0,2025-05
2025-05-05,Seeds & Rootstock,865.0,2025-05
2025-05-05,Electricity,354.0,2025-05
2025-05-05,Water,206.0,2025-05
2025-05-05,Equipment Maintenance,182.0,2025-05
2025-05-05,Transport,391.0,2025-05
2025-05-05,Packaging Materials,220.0,2025-05
2025-05-05,Miscellaneous,175.0,2025-05
2025-05-06,Labor - Regular,3251.0,2025-05
2025-05-06,Labor - Overtime,886.0,2025-05
2025-05-06,Fertilizers,1737.0,2025-05
2025-05-06,Pesticides & Fungicides,705.0,2025-05
2025-05-06,Seeds & Rootstock,992.0,2025-05
2025-05-06,Electricity,417.0,2025-05
2025-05-06,Water,198.0,2025-05
2025-05-06,Equipment Maintenance,289.0,2025-05
2025-05-06,Transport,253.0,2025-05
2025-05-06,Packaging Materials,270.0,2025-05
2025-05-06,Miscellaneous,114.0,2025-05
2025-05-07,Labor - Regular,3374.0,2025-05
2025-05-07,Labor - Overtime,847.0,2025-05
2025-05-07,Fertilizers,1368.0,2025-05
2025-05-07,Pesticides & Fungicides,652.0,2025-05
2025-05-07,Seeds & Rootstock,873.0,2025-05
2025-05-07,Electricity,355.0,2025-05
2025-05-07,Water,238.0,2025-05
2025-05-07,Equipment Maintenance,216.0,2025-05
2025-05-07,Transport,294.0,2025-05
2025-05-07,Packaging Materials,195.0,2025-05
2025-05-07,Miscellaneous,231.0,2025-05
2025-05-08,Labor - Regular,3314.0,2025-05
2025-05-08,Labor - Overtime,827.0,2025-05
2025-05-08,Fertilizers,1753.0,2025-05
2025-05-08,Pesticides & Fungicides,690.0,2025-05
2025-05-08,Seeds & Rootstock,971.0,2025-05
2025-05-08,Electricity,379.0,2025-05
2025-05-08,Water,172.0,2025-05
2025-05-08,Equipment Maintenance,274.0,2025-05
2025-05-08,Transport,286.0,2025-05
2025-05-08,Packaging Materials,230.0,2025-05
2025-05-08,Miscellaneous,96.0,2025-05
2025-05-09,Labor - Regular,3389.0,2025-05
2025-05-09,Labor - Overtime,622.0,2025-05
2025-05-09,Fertilizers,1313.0,2025-05
2025-05-09,Pesticides & Fungicides,464.0,2025-05
2025-05-09,Seeds & Rootstock,670.0,2025-05
2025-05-09,Electricity,418.0,2025-05
2025-05-09,Water,240.0,2025-05
2025-05-09,Equipment Maintenance,362.0,2025-05
2025-05-09,Transport,335.0,2025-05
2025-05-09,Packaging Materials,245.0,2025-05
2025-05-09,Miscellaneous,234.0,2025-05
2025-05-10,Labor - Regular,3352.0,2025-05
2025-05-10,Labor - Overtime,938.0,2025-05
2025-05-10,Fertilizers,1308.0,2025-05
2025-05-10,Pesticides & Fungicides,780.0,2025-05
2025-05-10,Seeds & Rootstock,1021.0,2025-05
2025-05-10,Electricity,361.0,2025-05
2025-05-10,Water,219.0,2025-05
2025-05-10,Equipment Maintenance,334.0,2025-05
2025-05-10,Transport,297.0,2025-05
2025-05-10,Packaging Materials,199.0,2025-05
2025-05-10,Miscellaneous,152.0,2025-05
2025-05-11,Labor - Regular,0.0,2025-05
2025-05-11,Labor - Overtime,0.0,2025-05
2025-05-11,Fertilizers,172.0,2025-05
2025-05-11,Pesticides & Fungicides,74.0,2025-05
2025-05-11,Seeds & Rootstock,69.0,2025-05
2025-05-11,Electricity,40.0,2025-05
2025-05-11,Water,22.0,2025-05
2025-05-11,Equipment Maintenance,18.0,2025-05
2025-05-11,Transport,26.0,2025-05
2025-05-11,Packaging Materials,20.0,2025-05
2025-05-11,Miscellaneous,23.0,2025-05
2025-05-12,Labor - Regular,3370.0,2025-05
2025-05-12,Labor - Overtime,619.0,2025-05
2025-05-12,Fertilizers,1753.0,2025-05
2025-05-12,Pesticides & Fungicides,518.0,2025-05
2025-05-12,Seeds & Rootstock,987.0,2025-05
2025-05-12,Electricity,412.0,2025-05
2025-05-12,Water,221.0,2025-05
2025-05-12,Equipment Maintenance,361.0,2025-05
2025-05-12,Transport,273.0,2025-05
2025-05-12,Packaging Materials,212.0,2025-05
2025-05-12,Miscellaneous,241.0,2025-05
2025-05-13,Labor - Regular,3227.0,2025-05
2025-05-13,Labor - Overtime,812.0,2025-05
2025-05-13,Fertilizers,1412.0,2025-05
2025-05-13,Pesticides & Fungicides,720.0,2025-05
2025-05-13,Seeds & Rootstock,634.0,2025-05
2025-05-13,Electricity,350.0,2025-05
2025-05-13,Water,240.0,2025-05
2025-05-13,Equipment Maintenance,169.0,2025-05
2025-05-13,Transport,335.0,2025-05
2025-05-13,Packaging Materials,239.0,2025-05
2025-05-13,Miscellaneous,88.0,2025-05
2025-05-14,Labor - Regular,3258.0,2025-05
2025-05-14,Labor - Overtime,875.0,2025-05
2025-05-14,Fertilizers,1244.0,2025-05
2025-05-14,Pesticides & Fungicides,510.0,2025-05
2025-05-14,Seeds & Rootstock,745.0,2025-05
2025-05-14,Electricity,358.0,2025-05
2025-05-14,Water,167.0,2025-05
2025-05-14,Equipment Maintenance,234.0,2025-05
2025-05-14,Transport,290.0,2025-05
2025-05-14,Packaging Materials,244.0,2025-05
2025-05-14,Miscellaneous,166.0,2025-05
2025-05-15,Labor - Regular,3303.0,2025-05
2025-05-15,Labor - Overtime,613.0,2025-05
2025-05-15,Fertilizers,1206.0,2025-05
2025-05-15,Pesticides & Fungicides,445.0,2025-05
2025-05-15,Seeds & Rootstock,812.0,2025-05
2025-05-15,Electricity,425.0,2025-05
2025-05-15,Water,172.0,2025-05
2025-05-15,Equipment Maintenance,265.0,2025-05
2025-05-15,Transport,361.0,2025-05
2025-05-15,Packaging Materials,268.0,2025-05
2025-05-15,Miscellaneous,239.0,2025-05
2025-05-16,Labor - Regular,3457.0,2025-05
2025-05-16,Labor - Overtime,598.0,2025-05
2025-05-16,Fertilizers,1428.0,2025-05
2025-05-16,Pesticides & Fungicides,683.0,2025-05
2025-05-16,Seeds & Rootstock,668.0,2025-05
2025-05-16,Electricity,356.0,2025-05
2025-05-16,Water,207.0,2025-05
2025-05-16,Equipment Maintenance,212.0,2025-05
2025-05-16,Transport,293.0,2025-05
2025-05-16,Packaging Materials,249.0,2025-05
2025-05-16,Miscellaneous,215.0,2025-05
2025-05-17,Labor - Regular,3372.0,2025-05
2025-05-17,Labor - Overtime,884.0,2025-05
2025-05-17,Fertilizers,1759.0,2025-05
2025-05-17,Pesticides & Fungicides,478.0,2025-05
2025-05-17,Seeds & Rootstock,881.0,2025-05
2025-05-17,Electricity,377.0,2025-05
2025-05-17,Water,195.0,2025-05
2025-05-17,Equipment Maintenance,354.0,2025-05
2025-05-17,Transport,251.0,2025-05
2025-05-17,Packaging Materials,218.0,2025-05
2025-05-17,Miscellaneous,152.0,2025-05
2025-05-18,Labor - Regular,0.0,2025-05
2025-05-18,Labor - Overtime,0.0,2025-05
2025-05-18,Fertilizers,187.0,2025-05
2025-05-18,Pesticides & Fungicides,77.0,2025-05
2025-05-18,Seeds & Rootstock,83.0,2025-05
2025-05-18,Electricity,34.0,2025-05
2025-05-18,Water,21.0,2025-05
2025-05-18,Equipment Maintenance,24.0,2025-05
2025-05-18,Transport,39.0,2025-05
2025-05-18,Packaging Materials,26.0,2025-05
2025-05-18,Miscellaneous,24.0,2025-05
2025-05-19,Labor - Regular,3261.0,2025-05
2025-05-19,Labor - Overtime,513.0,2025-05
2025-05-19,Fertilizers,1439.0,2025-05
2025-05-19,Pesticides & Fungicides,679.0,2025-05
2025-05-19,Seeds & Rootstock,827.0,2025-05
2025-05-19,Electricity,450.0,2025-05
2025-05-19,Water,234.0,2025-05
2025-05-19,Equipment Maintenance,341.0,2025-05
2025-05-19,Transport,267.0,2025-05
2025-05-19,Packaging Materials,261.0,2025-05
2025-05-19,Miscellaneous,161.0,2025-05
2025-05-20,Labor - Regular,3172.0,2025-05
2025-05-20,Labor - Overtime,637.0,2025-05
2025-05-20,Fertilizers,1559.0,2025-05
2025-05-20,Pesticides & Fungicides,484.0,2025-05
2025-05-20,Seeds & Rootstock,639.0,2025-05
2025-05-20,Electricity,349.0,2025-05
2025-05-20,Water,208.0,2025-05
2025-05-20,Equipment Maintenance,270.0,2025-05
2025-05-20,Transport,313.0,2025-05
2025-05-20,Packaging Materials,238.0,2025-05
2025-05-20,Miscellaneous,93.0,2025-05
2025-05-21,Labor - Regular,3339.0,2025-05
2025-05-21,Labor - Overtime,908.0,2025-05
2025-05-21,Fertilizers,1453.0,2025-05
2025-05-21,Pesticides & Fungicides,399.0,2025-05
2025-05-21,Seeds & Rootstock,1071.0,2025-05
2025-05-21,Electricity,399.0,2025-05
2025-05-21,Water,188.0,2025-05
2025-05-21,Equipment Maintenance,257.0,2025-05
2025-05-21,Transport,251.0,2025-05
2025-05-21,Packaging Materials,227.0,2025-05
2025-05-21,Miscellaneous,97.0,2025-05
2025-05-22,Labor - Regular,3218.0,2025-05
2025-05-22,Labor - Overtime,845.0,2025-05
2025-05-22,Fertilizers,1727.0,2025-05
2025-05-22,Pesticides & Fungicides,714.0,2025-05
2025-05-22,Seeds & Rootstock,613.0,2025-05
2025-05-22,Electricity,391.0,2025-05
2025-05-22,Water,212.0,2025-05
2025-05-22,Equipment Maintenance,366.0,2025-05
2025-05-22,Transport,274.0,2025-05
2025-05-22,Packaging Materials,267.0,2025-05
2025-05-22,Miscellaneous,130.0,2025-05
2025-05-23,Labor - Regular,3209.0,2025-05
2025-05-23,Labor - Overtime,1035.0,2025-05
2025-05-23,Fertilizers,1463.0,2025-05
2025-05-23,Pesticides & Fungicides,762.0,2025-05
2025-05-23,Seeds & Rootstock,730.0,2025-05
2025-05-23,Electricity,372.0,2025-05
2025-05-23,Water,195.0,2025-05
2025-05-23,Equipment Maintenance,227.0,2025-05
2025-05-23,Transport,380.0,2025-05
2025-05-23,Packaging Materials,208.0,2025-05
2025-05-23,Miscellaneous,189.0,2025-05
2025-05-24,Labor - Regular,3274.0,2025-05
2025-05-24,Labor - Overtime,811.0,2025-05
2025-05-24,Fertilizers,1830.0,2025-05
2025-05-24,Pesticides & Fungicides,739.0,2025-05
2025-05-24,Seeds & Rootstock,839.0,2025-05
2025-05-24,Electricity,404.0,2025-05
2025-05-24,Water,182.0,2025-05
2025-05-24,Equipment Maintenance,365.0,2025-05
2025-05-24,Transport,278.0,2025-05
2025-05-24,Packaging Materials,235.0,2025-05
2025-05-24,Miscellaneous,247.0,2025-05
2025-05-25,Labor - Regular,0.0,2025-05
2025-05-25,Labor - Overtime,0.0,2025-05
2025-05-25,Fertilizers,133.0,2025-05
2025-05-25,Pesticides & Fungicides,66.0,2025-05
2025-05-25,Seeds & Rootstock,93.0,2025-05
2025-05-25,Electricity,44.0,2025-05
2025-05-25,Water,17.0,2025-05
2025-05-25,Equipment Maintenance,26.0,2025-05
2025-05-25,Transport,28.0,2025-05
2025-05-25,Packaging Materials,23.0,2025-05
2025-05-25,Miscellaneous,13.0,2025-05
2025-05-26,Labor - Regular,3394.0,2025-05
2025-05-26,Labor - Overtime,988.0,2025-05
2025-05-26,Fertilizers,1843.0,2025-05
2025-05-26,Pesticides & Fungicides,422.0,2025-05
2025-05-26,Seeds & Rootstock,669.0,2025-05
2025-05-26,Electricity,361.0,2025-05
2025-05-26,Water,163.0,2025-05
2025-05-26,Equipment Maintenance,273.0,2025-05
2025-05-26,Transport,415.0,2025-05
2025-05-26,Packaging Materials,232.0,2025-05
2025-05-26,Miscellaneous,237.0,2025-05
2025-05-27,Labor - Regular,3276.0,2025-05
2025-05-27,Labor - Overtime,766.0,2025-05
2025-05-27,Fertilizers,1756.0,2025-05
2025-05-27,Pesticides & Fungicides,798.0,2025-05
2025-05-27,Seeds & Rootstock,947.0,2025-05
2025-05-27,Electricity,355.0,2025-05
2025-05-27,Water,199.0,2025-05
2025-05-27,Equipment Maintenance,214.0,2025-05
2025-05-27,Transport,388.0,2025-05
2025-05-27,Packaging Materials,197.0,2025-05
2025-05-27,Miscellaneous,130.0,2025-05
2025-05-28,Labor - Regular,3200.0,2025-05
2025-05-28,Labor - Overtime,568.0,2025-05
2025-05-28,Fertilizers,1231.0,2025-05
2025-05-28,Pesticides & Fungicides,435.0,2025-05
2025-05-28,Seeds & Rootstock,763.0,2025-05
2025-05-28,Electricity,402.0,2025-05
2025-05-28,Water,226.0,2025-05
2025-05-28,Equipment Maintenance,272.0,2025-05
2025-05-28,Transport,325.0,2025-05
2025-05-28,Packaging Materials,252.0,2025-05
2025-05-28,Miscellaneous,163.0,2025-05
2025-05-29,Labor - Regular,3226.0,2025-05
2025-05-29,Labor - Overtime,514.0,2025-05
2025-05-29,Fertilizers,1730.0,2025-05
2025-05-29,Pesticides & Fungicides,751.0,2025-05
2025-05-29,Seeds & Rootstock,630.0,2025-05
2025-05-29,Electricity,368.0,2025-05
2025-05-29,Water,230.0,2025-05
2025-05-29,Equipment Maintenance,285.0,2025-05
2025-05-29,Transport,339.0,2025-05
2025-05-29,Packaging Materials,230.0,2025-05
2025-05-29,Miscellaneous,107.0,2025-05
2025-05-30,Labor - Regular,3495.0,2025-05
2025-05-30,Labor - Overtime,686.0,2025-05
2025-05-30,Fertilizers,1288.0,2025-05
2025-05-30,Pesticides & Fungicides,609.0,2025-05
2025-05-30,Seeds & Rootstock,893.0,2025-05
2025-05-30,Electricity,434.0,2025-05
2025-05-30,Water,166.0,2025-05
2025-05-30,Equipment Maintenance,228.0,2025-05
2025-05-30,Transport,389.0,2025-05
2025-05-30,Packaging Materials,269.0,2025-05
2025-05-30,Miscellaneous,164.0,2025-05
2025-05-31,Labor - Regular,3221.0,2025-05
2025-05-31,Labor - Overtime,741.0,2025-05
2025-05-31,Fertilizers,1695.0,2025-05
2025-05-31,Pesticides & Fungicides,406.0,2025-05
2025-05-31,Seeds & Rootstock,731.0,2025-05
2025-05-31,Electricity,409.0,2025-05
2025-05-31,Water,193.0,2025-05
2025-05-31,Equipment Maintenance,248.0,2025-05
2025-05-31,Transport,313.0,2025-05
2025-05-31,Packaging Materials,206.0,2025-05
2025-05-31,Miscellaneous,176.0,2025-05
2025-06-01,Labor - Regular,0.0,2025-06
2025-06-01,Labor - Overtime,0.0,2025-06
2025-06-01,Fertilizers,142.0,2025-06
2025-06-01,Pesticides & Fungicides,75.0,2025-06
2025-06-01,Seeds & Rootstock,104.0,2025-06
2025-06-01,Electricity,39.0,2025-06
2025-06-01,Water,16.0,2025-06
2025-06-01,Equipment Maintenance,17.0,2025-06
2025-06-01,Transport,26.0,2025-06
2025-06-01,Packaging Materials,25.0,2025-06
2025-06-01,Miscellaneous,12.0,2025-06
2025-06-02,Labor - Regular,3227.0,2025-06
