plant_id,variety_name,zone_id,measurement_date,week_number,height_cm,girth_mm,weekly_growth_cm,leaf_count,disease_detected,stress_indicators,health_score
WN-2024-0002,Local Variety,ZONE-A,2025-01-26,3,5.7,2.2,0.19,8,,none,87.4
WN-2024-0002,Local Variety,ZONE-A,2025-02-02,4,6.1,2.2,0.44,3,,none,90.4
WN-2024-0002,Local Variety,ZONE-A,2025-02-09,5,7.1,2.3,1.02,7,,none,83.3
WN-2024-0002,Local Variety,ZONE-A,2025-02-16,6,8.4,2.5,1.29,13,,none,100.0
WN-2024-0002,Local Variety,ZONE-A,2025-02-23,7,9.6,2.5,1.16,11,,none,87.2
WN-2024-0002,Local Variety,ZONE-A,2025-03-02,8,10.7,2.6,1.09,14,,none,95.7
WN-2024-0002,Local Variety,ZONE-A,2025-03-09,9,11.8,2.7,1.17,14,,none,99.0
WN-2024-0002,Local Variety,ZONE-A,2025-03-16,10,12.9,2.7,1.09,15,,none,90.8
WN-2024-0002,Local Variety,ZONE-A,2025-03-23,11,14.2,2.9,1.29,16,,none,86.9
WN-2024-0002,Local Variety,ZONE-A,2025-03-30,12,16.5,3.1,2.23,18,,none,87.5
WN-2024-0003,Local Variety,ZONE-E,2024-09-17,1,5.1,1.3,1.16,6,,none,86.4
WN-2024-0003,Local Variety,ZONE-E,2024-09-24,2,6.4,1.5,1.33,12,,none,92.9
WN-2024-0003,Local Variety,ZONE-E,2024-10-01,3,7.3,1.6,0.91,7,,none,98.7
WN-2024-0003,Local Variety,ZONE-E,2024-10-08,4,8.3,1.7,0.97,7,,none,82.5
WN-2024-0003,Local Variety,ZONE-E,2024-10-15,5,9.6,1.8,1.29,9,,none,92.1
WN-2024-0003,Local Variety,ZONE-E,2024-10-22,6,10.2,1.9,0.56,13,,none,91.4
WN-2024-0003,Local Variety,ZONE-E,2024-10-29,7,11.1,2.0,0.97,12,,none,85.8
WN-2024-0003,Local Variety,ZONE-E,2024-11-05,8,11.9,2.1,0.76,11,,none,94.1
WN-2024-0003,Local Variety,ZONE-E,2024-11-12,9,11.9,2.0,0.0,16,,water_stress,84.8
WN-2024-0003,Local Variety,ZONE-E,2024-11-19,10,12.5,2.0,0.65,14,,none,90.4
WN-2024-0003,Local Variety,ZONE-E,2024-11-26,11,13.5,2.1,0.96,12,,none,89.2
WN-2024-0003,Local Variety,ZONE-E,2024-12-03,12,14.6,2.1,1.06,17,,none,89.0
WN-2024-0003,Local Variety,ZONE-E,2024-12-10,13,15.0,2.3,0.43,19,,none,96.6
WN-2024-0003,Local Variety,ZONE-E,2024-12-17,14,15.5,2.3,0.5,16,,water_stress,98.7
WN-2024-0003,Local Variety,ZONE-E,2024-12-24,15,16.1,2.4,0.63,17,,water_stress,88.2
WN-2024-0003,Local Variety,ZONE-E,2024-12-31,16,17.0,2.4,0.92,21,,none,82.8
WN-2024-0003,Local Variety,ZONE-E,2025-01-07,17,17.2,2.4,0.21,24,,none,97.7
WN-2024-0003,Local Variety,ZONE-E,2025-01-14,18,17.9,2.4,0.66,19,,none,85.1
WN-2024-0003,Local Variety,ZONE-E,2025-01-21,19,18.8,2.4,0.92,19,,none,92.1
WN-2024-0003,Local Variety,ZONE-E,2025-01-28,20,20.4,2.6,1.54,29,,none,88.8
WN-2024-0003,Local Variety,ZONE-E,2025-02-04,21,21.2,2.7,0.83,21,,none,100.0
WN-2024-0003,Local Variety,ZONE-E,2025-02-11,22,21.8,2.7,0.65,25,,none,81.9
WN-2024-0003,Local Variety,ZONE-E,2025-02-18,23,22.6,2.8,0.75,24,,none,89.1
WN-2024-0003,Local Variety,ZONE-E,2025-02-25,24,23.4,2.9,0.84,27,,none,96.9
WN-2024-0003,Local Variety,ZONE-E,2025-03-04,25,24.8,3.0,1.34,31,,none,88.0
WN-2024-0003,Local Variety,ZONE-E,2025-03-11,26,26.2,3.0,1.43,28,,none,90.1
WN-2024-0003,Local Variety,ZONE-E,2025-03-18,27,27.0,3.1,0.83,33,,none,83.2
WN-2024-0003,Local Variety,ZONE-E,2025-03-25,28,28.8,3.2,1.73,38,,none,81.8
WN-2024-0003,Local Variety,ZONE-E,2025-04-01,29,30.6,3.4,1.87,33,Powdery Mildew,none,86.1
WN-2024-0004,Franquette,ZONE-D,2025-01-16,1,4.3,2.5,0.33,3,,water_stress,76.8
WN-2024-0004,Franquette,ZONE-D,2025-01-23,2,5.3,2.7,1.0,5,,water_stress,90.7
WN-2024-0004,Franquette,ZONE-D,2025-01-30,3,5.7,2.7,0.32,6,,none,92.1
WN-2024-0004,Franquette,ZONE-D,2025-02-06,4,7.2,2.7,1.58,7,,none,93.8
WN-2024-0004,Franquette,ZONE-D,2025-02-13,5,8.4,2.8,1.11,13,,none,88.3
WN-2024-0004,Franquette,ZONE-D,2025-02-20,6,9.6,2.9,1.29,12,,none,85.3
WN-2024-0004,Franquette,ZONE-D,2025-02-27,7,10.8,2.9,1.2,18,,none,91.7
WN-2024-0004,Franquette,ZONE-D,2025-03-06,8,12.0,3.1,1.15,13,,none,88.8
WN-2024-0004,Franquette,ZONE-D,2025-03-13,9,13.2,3.2,1.24,15,,none,82.4
WN-2024-0004,Franquette,ZONE-D,2025-03-20,10,14.7,3.2,1.43,18,,none,96.0
WN-2024-0004,Franquette,ZONE-D,2025-03-27,11,16.3,3.4,1.65,20,,none,89.8
WN-2024-0004,Franquette,ZONE-D,2025-04-03,12,18.1,3.5,1.78,22,,none,90.2
WN-2024-0005,Kashmiri Walnut,ZONE-C,2025-02-17,1,3.1,1.0,1.08,5,,none,92.1
WN-2024-0005,Kashmiri Walnut,ZONE-C,2025-02-24,2,4.7,1.1,1.57,6,,none,86.9
WN-2024-0005,Kashmiri Walnut,ZONE-C,2025-03-03,3,6.5,1.2,1.82,10,,none,85.4
WN-2024-0005,Kashmiri Walnut,ZONE-C,2025-03-10,4,7.8,1.4,1.29,11,,none,95.1
WN-2024-0005,Kashmiri Walnut,ZONE-C,2025-03-17,5,9.5,1.5,1.68,11,,none,92.0
WN-2024-0005,Kashmiri Walnut,ZONE-C,2025-03-24,6,10.3,1.6,0.85,11,,water_stress,81.9
WN-2024-0005,Kashmiri Walnut,ZONE-C,2025-03-31,7,12.1,1.7,1.81,9,,none,92.6
WN-2024-0006,Chandler,ZONE-A,2025-02-26,1,4.2,1.8,1.52,3,,none,88.3
WN-2024-0006,Chandler,ZONE-A,2025-03-05,2,5.5,1.9,1.33,4,,none,88.6
WN-2024-0006,Chandler,ZONE-A,2025-03-12,3,7.2,2.1,1.69,5,,none,89.9
WN-2024-0006,Chandler,ZONE-A,2025-03-19,4,9.5,2.3,2.35,9,,none,92.8
WN-2024-0006,Chandler,ZONE-A,2025-03-26,5,11.7,2.5,2.2,11,,none,99.3
WN-2024-0006,Chandler,ZONE-A,2025-04-02,6,14.1,2.6,2.38,16,,none,87.8
WN-2024-0007,Local Variety,ZONE-C,2024-06-26,1,4.5,2.8,2.45,3,,none,92.6
WN-2024-0007,Local Variety,ZONE-C,2024-07-03,2,6.4,3.0,1.9,9,,none,100.0
WN-2024-0007,Local Variety,ZONE-C,2024-07-10,3,8.9,3.2,2.5,11,,none,95.4
WN-2024-0007,Local Variety,ZONE-C,2024-07-17,4,11.1,3.4,2.19,14,,none,90.0
WN-2024-0007,Local Variety,ZONE-C,2024-07-24,5,13.2,3.6,2.02,13,,none,89.3
WN-2024-0007,Local Variety,ZONE-C,2024-07-31,6,14.7,3.8,1.53,20,,none,89.5
WN-2024-0007,Local Variety,ZONE-C,2024-08-07,7,16.8,4.0,2.12,17,,none,82.0
WN-2024-0007,Local Variety,ZONE-C,2024-08-14,8,18.4,4.1,1.63,23,,none,94.6
WN-2024-0007,Local Variety,ZONE-C,2024-08-21,9,20.2,4.2,1.79,24,,none,87.3
WN-2024-0007,Local Variety,ZONE-C,2024-08-28,10,21.7,4.3,1.52,25,,none,89.2
WN-2024-0007,Local Variety,ZONE-C,2024-09-04,11,24.0,4.5,2.2,32,,none,85.5
WN-2024-0007,Local Variety,ZONE-C,2024-09-11,12,25.3,4.5,1.32,25,,none,91.3
WN-2024-0007,Local Variety,ZONE-C,2024-09-18,13,26.6,4.6,1.29,30,,none,91.9
WN-2024-0007,Local Variety,ZONE-C,2024-09-25,14,27.7,4.7,1.14,32,,none,88.5
WN-2024-0007,Local Variety,ZONE-C,2024-10-02,15,29.0,4.8,1.28,39,,none,80.9
WN-2024-0007,Local Variety,ZONE-C,2024-10-09,16,29.9,5.0,0.96,39,,none,84.2
WN-2024-0007,Local Variety,ZONE-C,2024-10-16,17,31.0,5.1,1.05,40,,none,95.4
WN-2024-0007,Local Variety,ZONE-C,2024-10-23,18,31.9,5.2,0.88,40,,none,92.0
WN-2024-0007,Local Variety,ZONE-C,2024-10-30,19,32.6,5.2,0.72,38,,none,99.6
WN-2024-0007,Local Variety,ZONE-C,2024-11-06,20,33.7,5.3,1.1,42,,none,95.9
WN-2024-0007,Local Variety,ZONE-C,2024-11-13,21,34.9,5.4,1.21,43,,none,83.5
WN-2024-0007,Local Variety,ZONE-C,2024-11-20,22,35.6,5.6,0.75,41,,none,84.7
WN-2024-0007,Local Variety,ZONE-C,2024-11-27,23,36.4,5.7,0.81,45,,none,88.1
WN-2024-0007,Local Variety,ZONE-C,2024-12-04,24,36.9,5.7,0.43,45,,none,95.9
WN-2024-0007,Local Variety,ZONE-C,2024-12-11,25,37.4,5.6,0.56,44,,water_stress,86.9
WN-2024-0007,Local Variety,ZONE-C,2024-12-18,26,38.2,5.7,0.74,44,,water_stress,85.9
WN-2024-0007,Local Variety,ZONE-C,2024-12-25,27,38.2,5.6,0.05,47,,none,79.0
WN-2024-0007,Local Variety,ZONE-C,2025-01-01,28,39.0,5.7,0.77,45,,none,100.0
WN-2024-0007,Local Variety,ZONE-C,2025-01-08,29,39.8,5.7,0.82,49,,none,100.0
WN-2024-0007,Local Variety,ZONE-C,2025-01-15,30,40.7,5.9,0.86,45,,water_stress,87.8
WN-2024-0007,Local Variety,ZONE-C,2025-01-22,31,41.1,6.0,0.46,49,,water_stress,84.6
WN-2024-0007,Local Variety,ZONE-C,2025-01-29,32,42.2,6.1,1.08,48,,none,97.5
WN-2024-0007,Local Variety,ZONE-C,2025-02-05,33,42.8,6.2,0.57,48,,none,84.0
WN-2024-0007,Local Variety,ZONE-C,2025-02-12,34,44.3,6.3,1.54,54,,water_stress,75.4
WN-2024-0007,Local Variety,ZONE-C,2025-02-19,35,44.8,6.3,0.45,54,,water_stress,89.2
WN-2024-0007,Local Variety,ZONE-C,2025-02-26,36,45.8,6.4,1.06,56,,none,97.5
WN-2024-0007,Local Variety,ZONE-C,2025-03-05,37,47.5,6.5,1.65,55,,none,93.4
WN-2024-0007,Local Variety,ZONE-C,2025-03-12,38,48.6,6.5,1.17,55,,water_stress,83.8
WN-2024-0007,Local Variety,ZONE-C,2025-03-19,39,49.8,6.7,1.21,60,,none,90.8
WN-2024-0007,Local Variety,ZONE-C,2025-03-26,40,51.3,6.8,1.47,61,,water_stress,87.5
WN-2024-0007,Local Variety,ZONE-C,2025-04-02,41,52.8,6.8,1.45,58,,none,98.4
WN-2024-0008,Chandler,ZONE-C,2025-02-16,1,4.6,1.7,1.69,8,,none,90.5
WN-2024-0008,Chandler,ZONE-C,2025-02-23,2,6.0,1.8,1.45,8,,none,84.3
WN-2024-0008,Chandler,ZONE-C,2025-03-02,3,7.8,2.0,1.77,10,,none,85.4
WN-2024-0008,Chandler,ZONE-C,2025-03-09,4,9.8,2.1,2.0,11,,none,95.2
WN-2024-0008,Chandler,ZONE-C,2025-03-16,5,12.1,2.4,2.28,14,,none,90.0
WN-2024-0008,Chandler,ZONE-C,2025-03-23,6,13.7,2.5,1.61,13,,water_stress,90.7
WN-2024-0008,Chandler,ZONE-C,2025-03-30,7,15.9,2.6,2.18,19,,none,88.5
WN-2024-0009,Franquette,ZONE-E,2025-03-06,1,4.1,2.1,0.75,4,,none,94.1
WN-2024-0009,Franquette,ZONE-E,2025-03-13,2,5.4,2.3,1.27,9,,none,83.7
WN-2024-0009,Franquette,ZONE-E,2025-03-20,3,6.3,2.4,0.95,8,,water_stress,81.7
WN-2024-0009,Franquette,ZONE-E,2025-03-27,4,7.6,2.6,1.33,10,,none,95.0
WN-2024-0009,Franquette,ZONE-E,2025-04-03,5,9.1,2.7,1.51,11,,none,87.2
WN-2024-0010,Chandler,ZONE-B,2024-10-21,1,4.0,2.9,1.28,3,,none,97.7
WN-2024-0010,Chandler,ZONE-B,2024-10-28,2,5.0,3.0,0.97,5,,none,93.1
WN-2024-0010,Chandler,ZONE-B,2024-11-04,3,6.0,3.1,1.03,11,,none,89.5
WN-2024-0010,Chandler,ZONE-B,2024-11-11,4,7.2,3.2,1.22,10,,none,93.5
WN-2024-0010,Chandler,ZONE-B,2024-11-18,5,8.5,3.3,1.24,9,,none,84.6
WN-2024-0010,Chandler,ZONE-B,2024-11-25,6,8.8,3.3,0.39,8,,water_stress,84.8
WN-2024-0010,Chandler,ZONE-B,2024-12-02,7,10.5,3.5,1.66,10,,none,100.0
WN-2024-0010,Chandler,ZONE-B,2024-12-09,8,11.7,3.6,1.18,13,,none,96.2
WN-2024-0010,Chandler,ZONE-B,2024-12-16,9,12.5,3.8,0.84,13,Anthracnose,none,91.8
WN-2024-0010,Chandler,ZONE-B,2024-12-23,10,13.2,3.8,0.67,14,,none,77.5
WN-2024-0010,Chandler,ZONE-B,2024-12-30,11,13.8,3.9,0.55,16,,none,84.4
WN-2024-0010,Chandler,ZONE-B,2025-01-06,12,14.8,4.0,1.08,16,,none,85.1
WN-2024-0010,Chandler,ZONE-B,2025-01-13,13,15.1,4.0,0.25,17,,none,91.2
WN-2024-0010,Chandler,ZONE-B,2025-01-20,14,16.0,4.2,0.94,21,,none,93.6
WN-2024-0010,Chandler,ZONE-B,2025-01-27,15,17.5,4.4,1.52,22,,none,91.1
WN-2024-0010,Chandler,ZONE-B,2025-02-03,16,18.7,4.6,1.2,26,,none,96.2
WN-2024-0010,Chandler,ZONE-B,2025-02-10,17,20.3,4.7,1.53,23,Anthracnose,none,90.4
WN-2024-0010,Chandler,ZONE-B,2025-02-17,18,21.8,4.8,1.54,21,,none,85.0
WN-2024-0010,Chandler,ZONE-B,2025-02-24,19,23.8,4.9,2.02,30,,none,91.5
WN-2024-0010,Chandler,ZONE-B,2025-03-03,20,25.2,4.9,1.32,27,,water_stress,93.3
WN-2024-0010,Chandler,ZONE-B,2025-03-10,21,26.7,5.0,1.52,30,,none,94.8
WN-2024-0010,Chandler,ZONE-B,2025-03-17,22,28.3,5.1,1.67,37,,none,94.9
WN-2024-0010,Chandler,ZONE-B,2025-03-24,23,30.8,5.4,2.42,35,,none,95.4
WN-2024-0010,Chandler,ZONE-B,2025-03-31,24,33.2,5.5,2.41,42,,none,88.1
WN-2024-0011,Kashmiri Walnut,ZONE-E,2025-02-16,1,3.5,2.3,1.3,5,,none,99.0
WN-2024-0011,Kashmiri Walnut,ZONE-E,2025-02-23,2,5.0,2.3,1.52,7,,none,92.2
WN-2024-0011,Kashmiri Walnut,ZONE-E,2025-03-02,3,5.1,2.3,0.13,7,,water_stress,91.9
WN-2024-0011,Kashmiri Walnut,ZONE-E,2025-03-09,4,5.8,2.4,0.74,12,,none,96.8
WN-2024-0011,Kashmiri Walnut,ZONE-E,2025-03-16,5,7.6,2.5,1.72,8,,none,93.4
WN-2024-0011,Kashmiri Walnut,ZONE-E,2025-03-23,6,9.7,2.6,2.11,11,,none,86.8
WN-2024-0011,Kashmiri Walnut,ZONE-E,2025-03-30,7,10.9,2.8,1.28,13,,none,82.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-06-05,1,8.0,1.8,3.16,10,,none,86.8
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-06-12,2,10.4,2.1,2.46,9,,none,86.4
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-06-19,3,12.8,2.2,2.4,16,,none,95.5
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-06-26,4,15.5,2.5,2.69,21,,none,90.9
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-07-03,5,18.4,2.8,2.93,21,,none,100.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-07-10,6,21.3,3.0,2.82,20,,none,86.5
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-07-17,7,23.3,3.2,2.03,29,,none,96.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-07-24,8,25.7,3.4,2.36,31,,none,86.8
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-07-31,9,28.3,3.7,2.63,35,,none,94.1
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-08-07,10,30.4,3.9,2.11,34,,none,83.7
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-08-14,11,32.5,4.1,2.08,38,,none,100.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-08-21,12,34.4,4.2,1.97,38,,none,88.7
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-08-28,13,36.2,4.4,1.72,45,,none,94.1
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-09-04,14,38.1,4.5,1.94,47,,none,86.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-09-11,15,39.4,4.7,1.29,46,,water_stress,80.4
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-09-18,16,41.2,4.9,1.82,47,,none,89.1
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-09-25,17,42.9,5.1,1.68,51,,none,87.6
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-10-02,18,44.5,5.1,1.61,54,,none,85.3
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-10-09,19,45.2,5.1,0.75,53,,water_stress,88.8
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-10-16,20,46.7,5.3,1.5,56,,none,98.4
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-10-23,21,48.2,5.3,1.41,59,,none,89.7
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-10-30,22,49.7,5.5,1.58,58,,none,96.8
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-11-06,23,51.5,5.6,1.73,61,,none,91.9
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-11-13,24,52.3,5.8,0.87,61,,water_stress,87.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-11-20,25,53.2,5.9,0.87,64,,none,94.3
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-11-27,26,54.4,6.1,1.18,66,,none,87.3
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-12-04,27,55.5,6.2,1.06,68,,water_stress,75.7
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-12-11,28,56.6,6.3,1.1,68,,none,93.8
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-12-18,29,57.8,6.5,1.29,64,Root Rot,none,95.5
WN-2024-0012,Pusa Kanchan,ZONE-C,2024-12-25,30,59.2,6.6,1.38,72,,none,91.9
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-01-01,31,60.3,6.8,1.06,71,,none,91.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-01-08,32,61.1,6.8,0.79,70,,none,93.2
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-01-15,33,62.3,7.0,1.24,73,,none,90.8
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-01-22,34,63.3,7.1,0.98,74,,none,84.2
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-01-29,35,64.2,7.2,0.96,77,,none,94.1
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-02-05,36,65.5,7.3,1.21,76,,none,81.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-02-12,37,66.2,7.4,0.74,82,,none,85.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-02-19,38,67.2,7.5,1.01,79,,none,94.6
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-02-26,39,68.0,7.6,0.8,82,,water_stress,87.4
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-03-05,40,69.7,7.7,1.68,84,,none,93.6
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-03-12,41,71.3,7.9,1.57,87,,none,91.2
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-03-19,42,72.4,8.0,1.14,87,,none,87.4
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-03-26,43,73.3,8.1,0.94,87,,water_stress,83.0
WN-2024-0012,Pusa Kanchan,ZONE-C,2025-04-02,44,75.5,8.2,2.15,91,,none,90.9
WN-2024-0013,Kashmiri Walnut,ZONE-C,2024-11-22,1,3.4,1.7,0.16,6,,water_stress,83.8
WN-2024-0013,Kashmiri Walnut,ZONE-C,2024-11-29,2,4.5,1.8,1.11,3,,none,93.6
WN-2024-0013,Kashmiri Walnut,ZONE-C,2024-12-06,3,5.8,1.9,1.28,6,,none,96.1
WN-2024-0013,Kashmiri Walnut,ZONE-C,2024-12-13,4,6.6,1.9,0.82,9,,none,87.6
WN-2024-0013,Kashmiri Walnut,ZONE-C,2024-12-20,5,7.4,1.9,0.85,10,,none,93.5
WN-2024-0013,Kashmiri Walnut,ZONE-C,2024-12-27,6,8.0,2.0,0.53,8,,none,84.7
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-01-03,7,8.6,2.0,0.66,8,,none,90.0
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-01-10,8,9.9,2.1,1.24,14,,none,88.2
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-01-17,9,10.4,2.1,0.57,9,,none,98.9
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-01-24,10,11.3,2.2,0.87,11,,none,90.6
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-01-31,11,12.0,2.3,0.69,14,,none,97.4
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-02-07,12,13.2,2.3,1.18,15,,water_stress,81.6
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-02-14,13,14.2,2.4,0.97,16,,none,83.3
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-02-21,14,15.6,2.6,1.47,21,,none,90.7
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-02-28,15,16.6,2.6,1.0,21,,none,100.0
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-03-07,16,17.7,2.6,1.05,18,,water_stress,86.0
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-03-14,17,19.5,2.8,1.85,22,,none,94.0
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-03-21,18,21.2,3.0,1.65,23,,none,90.9
WN-2024-0013,Kashmiri Walnut,ZONE-C,2025-03-28,19,22.4,3.1,1.25,28,,none,92.0
WN-2024-0014,Franquette,ZONE-C,2024-10-23,1,2.6,1.8,0.58,4,,none,83.3
WN-2024-0014,Franquette,ZONE-C,2024-10-30,2,3.1,1.8,0.54,9,,water_stress,92.2
WN-2024-0014,Franquette,ZONE-C,2024-11-06,3,4.0,1.9,0.89,4,,none,88.0
WN-2024-0014,Franquette,ZONE-C,2024-11-13,4,4.6,2.0,0.59,3,,none,88.0
WN-2024-0014,Franquette,ZONE-C,2024-11-20,5,5.4,2.1,0.82,5,,none,93.4
